IntegrationID,QuantitativeAnalysisClass,QuantitativeFinding,RelatedQualitativeTheme,SupportingQuotationIDs,ContradictoryOrDivergentCases,RelationshipType,Interpretation,EvidentialBoundary
M4-01,hypothesis-directed / confirmatory,"Net route time: Baseline 67.06 s, Tsunami 48.66 s, and Minimap 41.01 s. Both planned one-sided contrasts versus Baseline were p<.001 (Holm adjusted).",T1_SCALE_CONTEXT,Q-T1-01;Q-T1-02,Neither long-range technique was preferred for every short-range or constrained task.,CONVERGENCE,Scale-dependent accounts converge with large long-range net-time advantages for both extended techniques.,The result does not establish one universally optimal method; effects depended on the tested tasks and routes.
M4-02,exploratory,"Relative to Baseline, teleport-count incidence-rate ratios were 0.191 for Minimap and 0.369 for Tsunami; path-efficiency ratios were 1.032 and 0.959, respectively (all Holm-adjusted p<.001).",T1_SCALE_CONTEXT,Q-T1-01;Q-T1-02,"Time, action count, and spatial economy did not rank methods identically.",COMPLEMENTARITY,"The two long-range techniques reduced interaction effort differently, while Minimap and Tsunami showed opposite path-efficiency directions relative to Baseline.",These outcomes are exploratory and describe the evaluated implementations rather than intrinsic technique properties.
M4-03,supplementary,"Method-by-route likelihood-ratio tests were significant for net time, chi-square(4)=32.86, p<.001, and total time, chi-square(4)=28.00, p<.001.",T1_SCALE_CONTEXT,Q-T1-01;Q-T1-02,Route-level variation did not identify a single geometric cause.,CONVERGENCE,"Route layout moderated method effects, supporting the qualitative account of context-dependent practical fit.",An interaction identifies variation but does not by itself establish which route feature caused it.
M4-04,hypothesis-directed / confirmatory; exploratory,"Perceived spatial awareness was higher for Tsunami than Minimap (means 4.62 vs 3.06; difference 1.56, 95% CI [1.11, 2.02], p<.001; confirmatory). Perceived environmental continuity was also higher (means 4.4048 vs 2.9048; difference 1.5000, 95% CI [0.8109, 2.1891], p<.001; exploratory).",T2_SPATIAL_REPRESENTATION,Q-T2-01;Q-T2-02,Minimap sometimes provided a useful global overview; Tsunami did not always help when landmarks or destinations were unclear.,CONVERGENCE,Participant accounts contextualize the subjective rating differences in perceptual information available during locomotion.,"These ratings concern perceived awareness and continuity, not acquired spatial knowledge; some map-frame problems were implementation-conditioned."
M4-05,hypothesis-directed / confirmatory,"Event-level models found lower adjusted landing-to-confirmation latency for Tsunami than Minimap (2.05 vs 2.85 s; difference -0.80 s, p<.001) and lower head rotation (4.55 vs 26.22 degrees; difference -21.67 degrees, p<.001).",T2_SPATIAL_REPRESENTATION,Q-T2-01;Q-T2-02,Movement strategies varied and did not directly index what participants learned about the environment.,COMPLEMENTARITY,Behavior during landing confirmation complements subjective and interview evidence about technique-specific interaction strategies.,"Head movement is a behavioral measure, not a direct measure of visual attention, spatial cognition, or awareness."
M4-11,supplementary,"During landing-to-confirmation, Tsunami-to-Minimap adjusted (outcome+1) ratios were 0.354 for absolute yaw (95% CI [0.317, 0.396]) and 0.180 for absolute pitch (95% CI [0.164, 0.198]); both Holm-adjusted p<.001.",T2_SPATIAL_REPRESENTATION,Q-T2-01;Q-T2-02,The measures isolate movement components but not participants' cognitive representation.,COMPLEMENTARITY,The decomposition supports phase-specific behavioral differences between interfaces.,Yaw and pitch are movement components within a defined interval and must not be interpreted as spatial cognition.
M4-06,exploratory,"For direct-hit long-range trials, adjusted Tsunami-minus-Minimap landing-error differences were 1.22 m at 200-350 m and 1.69 m at 350-500 m (both Holm-adjusted p<.001). The continuous method-by-distance interaction was not significant (p=.250).",T3_CONTROL_PRECISION_UI,Q-T3-01;Q-T3-02,"Participants distinguished the technique concept from joystick release, filtering, map controls, and UI placement.",COMPLEMENTARITY,The tested Minimap implementation produced lower direct-hit landing error; qualitative evidence identifies plausible implementation-conditioned contributors.,"The non-significant interaction is not evidence of equivalence, and the measured difference must not be generalized to all implementations."
M4-07,exploratory,"For complete sequential checkpoint episodes, adjusted first-landing errors were Tsunami 7.96 vs Minimap 1.79 m at 200-350 m and 18.27 vs 2.57 m at 350-500 m (both Holm-adjusted p<.001); the continuous method-by-distance interaction was p=.001.",T3_CONTROL_PRECISION_UI,Q-T3-01;Q-T3-02,Alternative controls and smoothing were proposed but not experimentally evaluated.,COMPLEMENTARITY,"Reports of overshoot and corrective action contextualize the sequential-approach pattern, especially at greater distance.","Control remapping and filtering remain design implications, not demonstrated causal fixes."
M4-08,exploratory,"Across repeated post-confirmation events, end-to-start (outcome+1) ratios were 0.760 for Minimap and 0.816 for Tsunami latency, and 0.662 and 0.575 for head rotation (all within-method p<.001). Method-by-progress interactions were non-significant for latency (p=.101) and head rotation (p=.389).",T4_ADOPTION_EXPERIENCE,Q-T4-01;Q-T4-02,Some participants remained uncomfortable or preferred familiar Baseline control.,CONVERGENCE,Reported acclimatization converges with reduced interaction and movement demands during repeated use.,Exploratory change does not demonstrate universal mastery or different learning rates between methods.
M4-09,hypothesis-directed / confirmatory; exploratory,"Minimap had lower net time than Tsunami (41.01 vs 48.66 s, p<.001; exploratory), whereas total times did not differ (60.70 vs 61.95 s, p=.603; exploratory). RAW-TLX favored Tsunami (17.78 vs 21.15; one-sided p=.029; confirmatory). Usability favored Tsunami by 0.92 points (p<.001; exploratory), and preference ranks favored Tsunami over Minimap by 0.74 points (Holm-adjusted p=.002; exploratory).",T4_ADOPTION_EXPERIENCE,Q-T4-01;Q-T4-02,Minimap's lower preference did not negate its active-traversal speed and tested precision advantages.,DIVERGENCE,"Instrumental speed did not map directly onto workload, usability ratings, or preference; adoption reflected multiple criteria.",Preference is not general usability. The workload confidence interval for the paired mean difference slightly included zero despite the significant planned rank test.
M4-10,hypothesis-directed / confirmatory; exploratory,"Mean CSQ-VR changes were Baseline 0.33, Tsunami 0.29, and Minimap 0.17. The planned Tsunami-versus-Baseline one-sided test was non-significant (p=.652); exploratory Minimap contrasts were also non-significant after Holm correction.",T4_ADOPTION_EXPERIENCE,Q-T4-01;Q-T4-02,Individual discomfort was still reported.,COMPLEMENTARITY,Sparse symptom reports are compatible with small average changes and no detected method-specific difference.,Non-significance does not establish equivalence or absence of individual cybersickness.
